,视频标题,播放数
0,一周的第一天，怎么能少得了看一集脱缰凯呢,2474329
1,当名台词有了回应2,2661075
2,背带宇宙之蒙面鸡人！！！,1843880
3,豆瓣4.8：《以爱为营》最难看的，甚至还不是土味审美和运镜！,1113811
4,我也不知道小姑娘的痰能淹死人啊,1630963
5,《加菲猫》剧场版首版正式预告（北美定档2024.5.24）,852222
6,中国文化，遥遥领先,1494333
7,当电诈分子遇到开挂保安,2668020
8,洛基终于坐上了属于自己的王位，代价是孤独一生！,914892
9,一分钟打515个字，键盘侠跟她对线能赢吗？,3001017
10,嘿!来看看这些女博主,380458
11,玩个别的 瞎看吧,1392544
12,【阿斗】上映3周狂卷8000万，连续4周霸榜票房冠军，2023泰国年度最佳恐怖片《祭屋出租》,857709
13,《功夫》1个调亮画面才看到的「恐怖细节」？六指琴魔暗杀苦力强之真相！,771823
14,萌！2024动画电影《加菲猫》首曝预告，克里斯·帕拉特+塞缪尔·杰克逊,758212
15,电影最TOP：一口气看完《X战警》系列,547946
16,爱你老妈，明天见,1201479
17,清流的手腕有多狠毒？内阁斗争，就是你死我活！国产第一神剧深度拆解！第七回,793313
18,《惊奇队长2》亏损恐超2亿！跌入谷底的漫威该如何自救？,885036
19,"【霍去病】""你眼前划过的是霍去病的一生""",512825
20,客服：我的命就不是命了？,1625431
21,御剑证扣满几分要吊销,720832
22,侠客红尘：想出去喝点酒太难了，还好我办法多！,2355293
23,和尚真的没有欲望？没想到韩国导演可以把佛性拍的这么好！,1948199
24,外国真人秀玩的有多大？荒野求生那真死人啊！,561624
25,谁发明的这玩意！,770676
26,完蛋我奶被老头包围了,897770
27,“幸好思念无声，否则震耳欲聋”,480028
28,我们就这样 各自奔天涯,425838
29,手握日月摘星辰，改装大师我的神！,712347
30,女朋友来姨妈了，学我这样做 暖他一整天！,988293
31,【洛基2】大结局，洛基封神，起步九届之巅，终落时间王座！,1962249
32,《宁安如梦》：真是一场酣畅淋漓的影视化啊！除了剧情一无是处！,679924
33,83万人打出8.9分，最后一刻反转的悬疑佳作《致命ID》,532588
34,当你意识到自己单纯的瞬间,1480925
35,这家人的散装症状已经波及到邻居了？,755870
36,男孩子出门在外一定要保护好自己,863672
37,【月2区系列】The Giant已知海生巨物,266467
38,"""治愈我焦虑的一段话""",425493
39,西维写小作文声讨室友,622416
40,洛基演员宣布退出漫威！惊队和女武神是情侣，《美队4》试映糟糕重拍,683585
41,爱意随风起，再见187。#败方MVP结算 #丝滑转场,1077763
42,如何把地方菜做成网红爆款？你的家乡有什么？,773866
43,东瀛使团扰乱大宋双凶奇案少包3之《三大神器》！包拯回归主线任务...,458458
44,【墨菲】《绝命毒师》第26期：麦克暴露逃亡，老白监狱屠杀（含彩蛋、色彩、音乐解读）,258627
45,人类探索恐怖星球，发现植物能制造丧尸，当生化炸弹腐蚀一切【科幻Fans 布玛】科幻冒险动画剧《拾荒者统治》3-6集,427274
46,三国演义62：严颜死前面不改色，张飞见其慷慨忠义，由衷钦佩向其下跪！,541627
47,高考必定满分的超能力也能改变世界,491677
48,这结局真是意想不到啊！,964925
49,性缘脑的一天,724874
50,太真实了！这部剧戳穿多少年轻人的残酷困境？,889948
51,狠戳心窝！打工人都破防了！国产情感剧《故乡，别来无恙》,447412
52,舍友带我走上人生跌峰,881005
53,“让我们再次欣赏蜘蛛侠动作设计天花板”,511890
54,如果你将来有难，我一定会在你身边,352522
55,【闹腾男孩KC】各地人的离谱行为,460199
56,“至此，艺术大成”,1790555
57,20万人打出8.9的高分！这部阿米尔汗主演的电影又感人又励志,1921562
58,实习期vs转正后,512722
59,现代唐僧会武功，捣毁犯罪团伙,371763
60,揭秘杰森标志性面具的来历！生命不息杀戮不止， 杀人魔完整体首次登场，经典恐怖片《十三号星期五》3,342772
61,《安德的游戏》,2657990
62,解析《甄嬛传》347：皇后卡bug失败，莞嫔即将封妃,395779
63,或许你身边也有一位这样的朋友,572588
64,最新台剧《此时此刻》，两个失意人的互相救赎，看红了我的眼眶｜郭雪芙、刘俊谦,360144
65,安全意识必须到位呀宝宝们～,899782
66,英雄的迟暮《金刚狼3》，狼叔的最后一战，奉献给了小金刚狼！,1809440
67,顶级女星的野心和欲望｜千颂伊的配得感养成,246167
68,陈翔六点半：兄弟跟你心连心，你跟兄弟玩脑筋？,314990
69,人狠话不多，韩版雨神,1102050
70,为什么让爸爸听猪猪侠,1612605
71,室友的内卷无声无息,1143716
72,“小时候看济公觉得好笑 长大后看济公人间活佛！”,346002
73,我 是 大 哥 鲲,255980
74,三枝九叶草,357329
75,一对比就封神了！这才是正常的团宠女主！终于知道为啥讨厌这部剧了！,336825
76,当我2019年看墙来了,557592
77,闺蜜是不是有点不懂事了,472295
78,单身是有原因的！！,665879
79,小时候以为长江七号里的包工头是坏人，长大后才发现，他才是好人,789730
80,选择你的逆子,387215
81,为啥大人总把自己的审美强加在孩子身上啊…,442308
82,汗流浃背了家人们,548275
83,合租室友居然藏着我房间的钥匙,536309
84,人和人的体质不能一概而论嘛~,407129
85,武林但是炊事班,335186
86,想抽fufu了,276952
87,“风又起叶落地，思念更浓郁”,176656
88,“因为感受到被需要 所以我不愿再消失”,227591
89,”不追往网红不追星，只追人民子弟兵“,201280
90,导员：我的心比石头还硬！！,604383
91,“这才是童话电影里该有的颜值吧”,143154
92,时间与你，怎么就都抓不住呢...,377922
93,真是一次酣畅淋漓的要账啊,218734
94,这恋爱谈的就是个若隐若现,350969
95,“有时悲伤不会流泪，有也只有一滴”,383857
96,《史记》原文全解读！二十四史之首，竟然如此好看？【故事】01,6219033
97,被戳中的站起来吧，不丢人,351574
98,“停止过度思考和编造不存在的问题” | 《星际穿越》,210735
99,她早就原谅你了，是你没有原谅你自己,479558
