,视频标题,播放数
0,《崩坏：星穹铁道》藿藿角色PV——「回魂夜」,2480859
1,小潮Team建筑大赛！,1141079
2,这十六分钟真的能讲完你那波澜壮阔的十年吗,878655
3,《原神》过场动画-「吞星之鲸」,785699
4,"""你们，才是挑战者""",1090693
5,TheShy兰博天崩开局反压Bin剑魔，英雄优势与兵线理解的完美体现,1265635
6,祝大家好运,765334
7,当玩家说芙宁娜神爱世人的时候，神到底在爱什么？,489421
8,最反转的一局,1026468
9,被4399下架的烧脑游戏，95%的玩家无法完美通关！,997981
10,阎王：支付成功,1243553
11,《把 头 埋 低》,800271
12,逆天bug！提瓦特任意门，一秒偷渡稻妻！,543051
13,王老菊教你吸精枪法,500669
14,兰陵王：隐着身给我腰子踹掉了,1015153
15,《 纯狱天花板 》最残忍的一集！,1258782
16,《明日方舟》危机合约新赛季「浊燃作战」宣传PV,706231
17,植物大战僵尸 随机模仿者,1299249
18,蒙德之神重回王座 绽放的最终审判 琴已打破深渊困局（也有可能是赛诺和阿贝多）,800418
19,【原神】强力副C，必抽人权？0命水神测评+教学攻略丨芙宁娜使用体验报告,478534
20,枫丹妙妙屋开启！,529486
21,【T1分析】T1也有弱点？如何破解T1推线体系？,654398
22,大司马强制登陆JDG上单账号，助他们一臂之力！,778992
23,什么？元梦之星还有生化模式？变身英雄后杀幽灵宛如割草！,574404
24,这人到底得多恐怖，才能把恶魔吓的屁滚尿流？？？,789620
25,《崩坏：星穹铁道》浮光映影：「惊魂夜」,742844
26,僵尸吃掉了不存在的东西,932015
27,【𝕹𝖊𝖚𝖛𝖎𝖑𝖑𝖊𝖙𝖙𝖊 × 𝕱𝖔𝖈𝖆𝖑𝖔𝖗𝖘】 与你共治四百余年,227599
28,文森特：小情侣居然还敢嘲讽我？你是真不怕我把你们打分手啊！！,749667
29,【原神4.2】爱她就给她叠300层！芙宁娜狂欢机制、配队配装全面解析,334352
30,“Scout Kanavi真的在演吗？”WBG最多赢一场？【老炮儿联盟】,700751
31,“🐯虎莉莲，打败 大魔王 之时，便是你名留青史之日！”,762583
32,夏洛蒂渡海，最有技术的一集,733635
33,EZ一点都不混,563138
34,【塞尔达】那些超乎你想象力的离谱游戏玩法！,619127
35,"TheShy兰博""第一视角""：丝血开局终结比赛！小虎喜剧人沙皇送一血！(WBG vs BLG Bin) S13",749773
36,2:1队友,549223
37,一条关于仁川故事的视频,563631
38,疯狂爆氪能否在咸鱼之王里硬刚土豪#4？,479739
39,他不仅什么都没做，还一直犯错,725703
40,黑  夜  食  者,557101
41,【STN慢报】这年头，mod做个商业化都得打高级战争了,504136
42,重生之我在峡谷玩愤怒的小鸟,1272032
43,【真实锐评】T1 WBG前瞻  T1体系核心点现在是什么？如果是微博来打BP上会不会难做？,1126825
44,向所有lol玩家发起挑战：谁能最快通关新手教程？,788391
45,"我的世界：当我们踩到草方块就会趋势,但挖掉木头会掉落神器,那我们能否通关游戏呢",1041931
46,新版本特效流沙皇？这个分裂弓简直离谱啊！,1664940
47,芙宁娜节假日,342850
48,车头一翘 生死难料,720660
49,《当你听了28遍轻涟后身体发生的变化》,561525
50,“Faker不用向众神祈祷，因为众神回应的是他的名号！”,1998551
51,“最高的山，最长的河”——Faker,661359
52,爆肝6个月，一口气带你看完【DNF】最新版主线剧情,255372
53,烦人的村民解放末地获得龙蛋做出战神之刃！,1040029
54,笑死我了！大世界的怪能强到哪去？,468814
55,难言x：当难言撞车鲨鱼，双黄金风衣对决！,584773
56,刺激战场回来了？都2023年了，竟然还有主播在直播刺激战场！,560820
57,这年头还教你兵线的AD博主真不多了！,600286
