,视频标题,播放数
0,[4K]来了终於来了!Red Velvet的Killing Voice现场一次听!!,832206
1,二手玫瑰《仙儿》| 2023再见夏天工体演唱会,1368003
2,Red Velvet《Chill Kill》MV,852241
3,“他说，我烂泥扶不上墙”,502002
4,【Animenz】致两千年后...或是...两万年后的你 – 进击的巨人完结篇 ED主题曲 钢琴改编,288577
5,在日本街头唱绿苹果的舞厅,603325
6,聂小倩新歌MV首发 《Lonely Tonight》,412529
7,燃烧吧！小虎，通通做掉，拿下s13全球总决赛冠军,1464947
8,【aespa】aespa《Drama》Performance Video,374930
9,国内综艺和短视频用烂的BGM，竟然都是出自日本游戏和动漫,333347
10,【NCT】Cover｜仁俊 - golden hour (JVKE),177234
11,洛克王国-彼得大道（人鱼湾无海浪声版）,234412
12,《一笑江湖》科目三，启动！,392481
13,Red Velvet 20首串烧Live完整版公开,287746
14,【时代少年团】《爱到1440》片场花絮Ver.,347368
15,我在五楼，哦不，“鼓楼”,1144105
16,"【俄语版】俄语翻唱「轻涟」""Зыбь на воде"" -芙宁娜传说任务PV(COVER by HaruWei)",184824
17,【星铁丨藿藿】《藿😱元😭甲》,297488
18,【谭维维】原神剧情曲《轻涟》（中文演绎版）,1793114
19,【萝莉正太版】全站最丝滑的萝莉神3D【动作/PV配布】,228878
20,2018年究竟有什么魔力？五年过去了，我们仍念念不忘！,385357
21,致敬科普工作者 ！【周深 | 无穷小亮】《我以渺小爱你》纯享完整MV！,167511
22,但凡少一斤都弹不出这感觉！,224818
23,“无才无德”！战鹰不熬老太太开熬小孩儿了？,361516
24,【单循推荐】《Lose Control》“全网超火卡点神曲”（无损音质）,159066
25,爆笑！社牛歌迷主动要求上台,326641
26,"炸了！Knowknow GAI 谢帝《Boss Of Boss》""梦里逞英雄 新专辑十几首差不多""",341025
27,当《小苹果》遇上了…,176557
28,不愧是你南娇娇，我读都读不顺的三角函数公式，竟然被你唱出来了,258847
29,循环日推丨“我们看惯了世间的罗生门，变得好像陌生人.”《罗生门》无损音质,158505
30,18年前和18年后学吉他的区别,368643
31,【原神】你们点的芙宁娜《轻涟》来啦~,215901
32,『求 神 呐』“祈天意，拜地去，三叩首求灵”【嘴要绕不过来啦！！,136988
33,《少萝の小曲》《魔怔の小曲》Ein Kleines Lied (Around the World) —— Candee!,1045543
34,[SPECIAL VIDEO] SEVENTEEN - 'Diamond Days' Live Clip,397571
35,大经理到底怎么唱？全网最详细的陶喆《小镇姑娘》歌曲教学！,199909
36,【时光音乐会】张杰《岁月神偷》,256258
37,吉他版本的不值得！,144328
38,你真美啊！请为我停留一下……,136948
39,盘点像离别又像重逢的神仙BGM，你听到的是什么呢？,160288
40,【歌曲教学】松原みき 《真夜中のドア/stay with me》日语歌曲教学,227665
41,撒泡尿的工夫，会弹钢琴了。,278783
