,时间,弹幕
0,2023-11-16 18:51:20,如果杀了沙皇把石头捡了是不是可以直接杀巨魔了，，
1,2023-11-16 18:45:51,所以他为啥要当面把3Q全放了清兵？
2,2023-11-16 15:43:41,ts身上就一个多兰盾啊
3,2023-11-16 15:41:11,能单杀幻锋就已经是上单之巅了
4,2023-11-16 15:21:00,当时这个塔姆把我看高潮了，这预判，纯肉打全场最高输出...离谱
5,2023-11-16 15:17:37,A了小兵有了不灭的平A，不然哪来打残TS的机会
6,2023-11-16 14:47:00,TheShy VS 5个人+2个门牙塔
7,2023-11-16 14:38:36,你秀你秀你接着秀啊！
8,2023-11-16 13:42:05,黑子说话
9,2023-11-16 12:09:33,能找到焕峰已经不容易了，还单杀了！！
10,2023-11-16 11:36:06,为什么他的鳄鱼这么强
11,2023-11-16 09:25:28,别吃~别吃~
12,2023-11-16 09:18:50,这波拖了四个人
13,2023-11-16 09:17:20,shy哥心态好
14,2023-11-16 09:16:41,一打二
15,2023-11-16 09:16:27,经典
16,2023-11-16 09:07:17,某人四保一
17,2023-11-16 09:07:11,这才是一保四
18,2023-11-16 09:06:17,豹女
19,2023-11-16 09:05:55,这才是神
20,2023-11-16 09:04:32,这才是神
21,2023-11-16 02:37:27,a小兵是为了升6敲起来奥恩，但是ts直接闪走了没敲起来，如果5级那波没a小兵伤害没准够杀的
22,2023-11-16 02:32:25,这tm落地还a了一下再开的金身要不然伤害可能不够
23,2023-11-16 02:30:15,当年最著名的卢锡安三路摇摆
24,2023-11-16 00:15:02,不愧是亚军】
25,2023-11-16 00:03:38,上单被砍废这小子得付一般责任
26,2023-11-16 00:00:47,三个都得死全然是吹比，6级一套之后没CD没回复拿头反杀
27,2023-11-15 23:54:04,小虎哈哈哈哈哈哈哈哈哈
28,2023-11-15 23:49:02,A小兵是为了升6
29,2023-11-15 23:44:33,说布隆反向举盾的 去看下眼科吧
30,2023-11-15 23:25:53,中立
31,2023-11-15 23:25:25,A小兵是想升6 解释过了
32,2023-11-15 23:22:23,这个瑞兹我记得是2-0，吸血鬼0-0
33,2023-11-15 23:13:11,说baolan幽默的真的看懂了吗
34,2023-11-15 22:08:20,没有金贡船长单杀TS吗？
35,2023-11-15 21:52:14,你真的不听一听你自己的BGM？
36,2023-11-15 21:38:52,恐怖
37,2023-11-15 21:16:01,huanfeng也是世界第一AD啊 哈哈 第一弱
38,2023-11-15 21:13:38,哪个小兵少血了请问？
39,2023-11-15 20:58:28,这波比不蓄R A小兵  当时被骂惨了
40,2023-11-15 20:19:46,shy哥退役后看什么，感觉没什么好看了
41,2023-11-15 19:40:34,三个都得死这是不是太夸张了点
42,2023-11-15 19:34:56,半决赛打BLG穿梭闪辛德拉的E，也很帅。
43,2023-11-15 19:17:05,慢慢看你都没看出来，那你该去眼科了，奥恩都掉血了
44,2023-11-15 19:08:43,门酱
45,2023-11-15 18:53:38,这波真的夸张
46,2023-11-15 18:47:17,你不把他顶出塔得死三个
47,2023-11-15 18:39:18,牛鼓励长得真的好像欧美那边认为的亚裔脸
48,2023-11-15 18:14:58,游龙!
49,2023-11-15 17:51:26,名场面
50,2023-11-15 17:46:30,？？？啊
51,2023-11-15 17:38:33,看了无数遍还是会议无穷
52,2023-11-15 17:30:48,上单教联：Theshy
53,2023-11-15 17:27:12,玄冥二老
54,2023-11-15 17:25:45,说宝蓝幽默的你是真幽默，最多黑铁5
55,2023-11-15 17:09:56,主要上单能打成小代，就离谱
56,2023-11-15 17:01:00,请记住 S冠的战队 就是当年世界上最强的5人
57,2023-11-15 15:50:26,雀氏没A小兵
58,2023-11-15 15:16:35,姿态：老子训练赛一枪一个，上去打了够吧三分钟我不知道我是谁
59,2023-11-15 14:03:21,如来神掌今犹在
60,2023-11-15 14:00:20,宁这个大完全就是奔着救ts去的啊
61,2023-11-15 13:49:08,这个穿越闪现离谱
62,2023-11-15 13:26:17,\
63,2023-11-15 13:08:25,还慢慢看，我就是慢慢慢慢看，也是A小兵了。
64,2023-11-15 12:53:02,太猛
65,2023-11-15 12:52:33,太猛了
66,2023-11-15 12:51:35,全体起立！
67,2023-11-15 12:50:47,这闪现
68,2023-11-15 12:48:55,闪现
69,2023-11-15 12:48:28,卧槽·····
70,2023-11-15 12:47:09,啥呀，没道理
71,2023-11-15 12:46:03,这个伤害计算啊~
72,2023-11-15 12:45:22,名场面
73,2023-11-15 12:43:23,台秀了
74,2023-11-15 12:43:15,.
75,2023-11-15 12:40:14,可怜我姿态···
76,2023-11-15 12:28:42,A小兵为了升6 其实没必要
77,2023-11-15 12:27:31,小炮不来得死四个
78,2023-11-15 12:23:39,The shy还是老了啊，放以前这三个都得死
79,2023-11-15 12:22:42,宝蓝这一波也厉害
80,2023-11-15 11:49:45,huanfeng的ob能力我还是认可的，这波单杀obad很强
81,2023-11-15 11:24:28,牛头wq的，就是失误了
82,2023-11-15 11:16:25,原来huanfeng sofm是这里记仇了
83,2023-11-15 11:09:49,没。。没有吧
84,2023-11-15 11:03:10,18级....
85,2023-11-15 10:59:22,一枪一个
86,2023-11-15 10:23:00,啥都会玩是吧
87,2023-11-15 10:20:13,离谱
88,2023-11-15 10:13:22,最离谱的是还补了俩个兵
89,2023-11-15 09:54:41,哈哈哈
90,2023-11-15 09:17:45,这个地方大黄想抗塔让天进去杀人
91,2023-11-15 08:56:18,这就是超级上单
92,2023-11-15 08:53:39,这波小炮晚点来都杀了
93,2023-11-15 08:52:23,把剑魔复活打没了
94,2023-11-15 08:44:52,中立
